level,name,GEOID,county,FIPS,diversity_rank,diversity,median_diversity,pct_hisp,pct_white,pct_black,pct_aian,pct_asian,pct_nhpi,pct_other,pct_two,pop,pop_hisp,pop_white,pop_black,pop_aian,pop_asian,pop_nhpi,pop_other,pop_two
municipality,Jersey City,3401736000,Hudson,017,1,0.7682641678567365,0.5240613031684282,0.24885364627678672,0.2380722792692059,0.18532804010271878,0.0021815769587175886,0.27842461420623765,3.4535936180325456e-4,0.014375156010107745,0.03241932781442235,292449,72777,69624,54199,638,81425,101,4204,9481
municipality,North Brunswick,3402352560,Middlesex,023,2,0.7612781356813645,0.5240613031684282,0.24316137114223893,0.28730212959799567,0.17622138708575333,0.0017082336863682953,0.25536954788748434,2.277644915157727e-5,0.010181072770755039,0.02603348138025282,43905,10676,12614,7737,75,11212,1,447,1143
municipality,Franklin,3403524900,Somerset,035,3,0.758386508029357,0.5240613031684282,0.1746240711485577,0.3131033877479375,0.24180855420981803,0.001389620267977298,0.2316277572991633,1.9015856298636708e-4,0.007065121994031947,0.030191328769527823,68364,11938,21405,16531,95,15835,13,483,2064
municipality,Atlantic City,3400102080,Atlantic,001,4,0.7421307347077355,0.5240613031684282,0.29906226459204616,0.16154505545886694,0.3397407590201834,0.0018702756058913681,0.16125931890796685,4.4159285139101746e-4,0.006831701171519859,0.02924903239213445,38497,11513,6219,13079,72,6208,17,263,1126
municipality,Carteret,3402310750,Middlesex,023,5,0.7403799740805779,0.5240613031684282,0.36879096580589116,0.22056384742951907,0.15083313590776276,0.0016978599068151307,0.22727631682855565,2.3691068467187872e-4,0.008647239990523572,0.02195372344626076,25326,9340,5586,3820,43,5756,6,219,556
municipality,Union,3403974480,Union,039,6,0.7400803787375705,0.5240613031684282,0.19921979641039378,0.32055317439057057,0.323064559335655,0.0011384945084382534,0.10835788909724083,2.1765336190731314e-4,0.012824805786230914,0.034623627109563355,59728,11899,19146,19296,68,6472,13,766,2068
municipality,Englewood,3400321480,Bergen,003,7,0.7374292140723517,0.5240613031684282,0.3288863109048724,0.2899208407260816,0.24498430462672308,0.0015695373276920978,0.0976866384604886,2.729630135116692e-4,0.010747918657021974,0.02593148628360857,29308,9639,8497,7180,46,2863,8,315,760
municipality,Piscataway,3402359010,Middlesex,023,8,0.7327779911110295,0.5240613031684282,0.13610946648246827,0.2343760278929018,0.19358923755016116,0.0021380172357081772,0.39426682455101636,3.4537201499901325e-4,0.013716202881389382,0.02545885139135583,60804,8276,14251,11771,130,23973,21,834,1548
municipality,Bloomfield,3401306260,Essex,013,9,0.7259963306267636,0.5240613031684282,0.3049995292345353,0.37036060634591844,0.18719517936164204,0.0015817719612089256,0.08464363054326335,7.532247434328218e-5,0.013426231051690048,0.03771772902739855,53105,16197,19668,9941,84,4495,4,713,2003
municipality,Teaneck,3400372360,Bergen,003,10,0.7251075972262924,0.5240613031684282,0.21451777142025893,0.4084032391019735,0.22256703680356882,0.0011152596615429376,0.10614362604858653,1.9395820200746738e-4,0.01430441739805072,0.03275469136401105,41246,8848,16845,9180,46,4378,8,590,1351
municipality,Rahway,3403961530,Union,039,11,0.7243483041045182,0.5240613031684282,0.3000067668155366,0.30156313438895654,0.30085261875761266,0.0013533631073216945,0.05487887400189471,1.3533631073216944e-4,0.007714169711733658,0.03349573690621194,29556,8867,8913,8892,40,1622,4,228,990
municipality,Pennsauken,3400757660,Camden,007,12,0.7238568706618205,0.5240613031684282,0.3739547931164698,0.282165398931866,0.21761881642121164,0.0018611425797054539,0.09259858661056265,3.5065005124885367e-4,0.004477531423639208,0.026973080865296435,37074,13864,10461,8068,69,3433,13,166,1000
municipality,Woodbridge,3402382000,Middlesex,023,13,0.7225199253546448,0.5240613031684282,0.21496733855015968,0.3885795887648472,0.0978685629926958,0.001592064763264794,0.264620461409315,2.3157305647487914e-4,0.007304200156311813,0.024836210306930787,103639,22279,40272,10143,165,27425,24,757,2574
municipality,Bergenfield,3400305170,Bergen,003,14,0.7190278096295499,0.5240613031684282,0.322057836940786,0.32760142650330143,0.06687616962677871,0.001059284629780022,0.2550051198757106,0,0.00861551498887751,0.01878464743476572,28321,9121,9278,1894,30,7222,0,244,532
municipality,West Orange,3401379800,Essex,013,15,0.718889751689297,0.5240613031684282,0.19751039043465798,0.39217492782998586,0.2849128841389759,0.0010851094322625555,0.07212906660115062,3.685277317118113e-4,0.008926560612574986,0.04289253321868026,48843,9647,19155,13916,53,3523,18,436,2095
municipality,East Windsor,3402119780,Mercer,021,16,0.7169910713338656,0.5240613031684282,0.25794641371276417,0.3964053919121318,0.08830088201031785,0.0014311865535030787,0.22566150773839241,3.661174904310201e-4,0.0058245964386753205,0.024063904143784322,30045,7750,11910,2653,43,6780,11,175,723
municipality,Harrison,3401730210,Hudson,017,17,0.7143018034509421,0.5240613031684282,0.39892030848329046,0.24113110539845758,0.03712082262210797,9.254498714652956e-4,0.254293059125964,0,0.027197943444730078,0.04041131105398458,19450,7759,4690,722,18,4946,0,529,786
municipality,Hackensack,3400328680,Bergen,003,18,0.7137666793832187,0.5240613031684282,0.41755376928090376,0.24012600477949164,0.20764718661742343,0.001346947642841625,0.10284597001955247,1.5207473386921573e-4,0.009450358461872692,0.02087768846404519,46030,19220,11053,9558,62,4734,7,435,961
municipality,Linden,3403940350,Union,039,19,0.708949329871758,0.5240613031684282,0.3442086972426723,0.31423476153459234,0.2680049384974164,7.544926608441172e-4,0.0339293063240203,1.1431706982486625e-4,0.012369106955050528,0.02638437971557913,43738,15055,13744,11722,33,1484,5,541,1154
municipality,Lindenwold,3400740440,Camden,007,20,0.7053957930406343,0.5240613031684282,0.3292361720807726,0.276327341620073,0.32872787763966543,0.001247631809990296,0.02499884478536112,4.620858555519616e-5,0.005822281779954716,0.03359364169862761,21641,7125,5980,7114,27,541,1,126,727
municipality,Little Ferry,3400340680,Bergen,003,21,0.7035775891395152,0.5240613031684282,0.315645763174661,0.3651588240648039,0.04268681168653864,5.460999362883408e-4,0.2472922544825703,2.730499681441704e-4,0.008282515700373168,0.020114680986620552,10987,3468,4012,469,6,2717,3,91,221
