Town,County,Best Towns Rank,Diversity Index,Population density,Diversity Index rank,Pop. density rank,Diversity Index percentile,Pop. density percentile,"Population, 2013-17",Square miles,pct Asian,pct Black,pct Two or more,pct Native American,pct Other race,pct Pacific Islander,pct White,pct Hispanic,pct Non-Hispanic,"Med. Household Income, 2013-17",twp_identifier
Shrewsbury,Monmouth,102,0.5716985562908706,11269,57,28,0.8445229681978799,0.9187279151943463,1117,0.0991199781,0.10295434198746643,0.25514771709937334,0.03312444046553268,0,0.01611459265890779,0,0.5926589077887198,0.153088630259624,0.846911369740376,57697,Shrewsbury township Monmouth
Florham Park,Morris,103,0.28491651827055675,1614,262,316,0.36042402826855124,0.3392226148409894,11792,7.3074648933,0.10846336499321574,0.042740841248303935,0.006953867028493894,0.002289687924016282,0.0020352781546811396,0,0.837516960651289,0.06648575305291723,0.9335142469470827,123266,Florham Park Morris
Holmdel,Monmouth,104,0.39080034896171656,933,180,379,0.5371024734982333,0.20141342756183744,16648,17.8450887186,0.19389716482460356,0.011592984142239308,0.021504084574723692,9.010091302258529e-4,0.016638635271504085,0,0.7554661220567035,0.05466122056703508,0.945338779432965,155842,Holmdel township Monmouth
Ridgewood,Bergen,105,0.341358194742305,4451,215,129,0.44876325088339225,0.6607773851590106,25554,5.7415575789,0.14753071926117242,0.01663144713156453,0.03310636299600845,0.0012522501369648588,0.00383501604445488,4.6959380136182204e-4,0.7971746106284731,0.07763950849182125,0.9223604915081788,162011,Ridgewood Bergen
Franklin Lakes,Bergen,106,0.2633737742971558,1163,278,353,0.3215547703180212,0.24734982332155478,10953,9.4143299679,0.08490824431662558,0.017803341550260202,0.01862503423719529,4.5649593718615904e-4,0.022368300922121793,0.0024650780608052587,0.8533735049758057,0.07623482151008856,0.9237651784899115,155458,Franklin Lakes Bergen
Vernon Twp.,Sussex,107,0.12934605089417295,334,426,445,0.08480565371024736,0.04946996466431095,22572,67.6050254451,0.005980861244019139,0.02480949849370902,0.023923444976076555,5.31632110579479e-4,0.01240474924685451,0,0.9323498139287613,0.09657983342193868,0.9034201665780613,90805,Vernon township Sussex
Leonia,Bergen,108,0.5910308463451821,6034,44,83,0.8833922261484098,0.7632508833922261,9191,1.5231177819,0.4098574692634099,0.028070938962028072,0.05548906539005549,6.528125340006528e-4,0.019366771842019365,0,0.48656294200848654,0.1694048525731694,0.8305951474268306,89744,Leonia Bergen
Montvale,Bergen,109,0.3868586734350081,2098,183,282,0.5300353356890459,0.37809187279151946,8440,4.0231314981,0.15343601895734596,0.030805687203791468,0.011255924170616114,7.109004739336493e-4,0.03755924170616114,0,0.7662322274881517,0.11812796208530806,0.8818720379146919,120060,Montvale Bergen
Woodcliff Lake,Bergen,110,0.1880801049584846,1738,352,303,0.18021201413427562,0.35335689045936397,5868,3.3760742301,0.0650988411724608,0.026584867075664622,0.01005453306066803,0,0,0,0.8982617586912065,0.015678254942058625,0.9843217450579413,161250,Woodcliff Lake Bergen
Swedesboro,Gloucester,111,0.4009369342581426,3568,174,181,0.5547703180212014,0.558303886925795,2609,0.731230929,0.006515906477577616,0.15024913760061326,0.020314296665389038,0.0022997316979685703,0.06439248754311996,0,0.7562284400153315,0.18321195860482944,0.8167880413951706,78267,Swedesboro Gloucester
Cranbury,Middlesex,112,0.36225746355524135,289,198,456,0.4911660777385159,0.028268551236749116,3844,13.2831342072,0.12122788761706556,0.060093652445369405,0.010665972944849115,0,0.02133194588969823,0,0.7866805411030177,0.049167533818938604,0.9508324661810614,138906,Cranbury township Middlesex
Bergenfield,Bergen,113,0.654620102119956,9536,16,38,0.950530035335689,0.8869257950530035,27694,2.9041171731,0.28367155340506967,0.07857297609590524,0.022134758431429192,9.749404203076478e-4,0.12110926554488337,0,0.49353650610240485,0.26272838882068317,0.7372716111793168,90962,Bergenfield Bergen
Millburn,Essex,114,0.44175470501488556,2184,143,273,0.6289752650176679,0.3957597173144876,20387,9.3332729061,0.20930004414577918,0.031049198018345023,0.02393682248491686,0,0.0198165497621033,0,0.7158973855888556,0.044341982635993524,0.9556580173640065,202862,Millburn township Essex
Linwood,Atlantic,115,0.18208003806748463,1826,358,295,0.1696113074204947,0.36395759717314485,6959,3.8114336402999998,0.040235666043971836,0.016094266417588734,0.02615318292858169,4.3109642189969824e-4,0.014226181922690042,0,0.902859606265268,0.061359390717057045,0.9386406092829429,91861,Linwood Atlantic
Roxbury,Morris,116,0.23582602912517459,1125,310,356,0.26855123674911663,0.23674911660777384,23458,20.8458069534,0.051027368062068375,0.04599710120214852,0.013257737232500639,2.557762810128741e-4,0.018288004092420495,0,0.8711740131298491,0.1018842186034615,0.8981157813965385,112625,Roxbury township Morris
Upper Twp.,Cape May,117,0.047116049585385844,193,513,483,0.01060070671378092,0.007067137809187279,11990,62.0208704115,0.0027522935779816515,0.007339449541284404,0.010592160133444536,0,0.0032527105921601332,0,0.9760633861551292,0.022268557130942453,0.9777314428690576,81541,Upper township Cape May
Little Silver,Monmouth,118,0.02644674346886755,2182,521,275,0,0.38869257950530034,5917,2.7120007629,0.007774209903667399,0.003718100388710495,0.0018590501943552475,0,0,0,0.9866486395132669,0.04647625485888119,0.9535237451411188,144250,Little Silver Monmouth
Chesterfield,Burlington,119,0.545235959733158,357,75,439,0.8056537102473498,0.0636042402826855,7616,21.3108389208,0.13497899159663865,0.17305672268907563,0.02468487394957983,0,0.03085609243697479,0,0.6364233193277311,0.0934873949579832,0.9065126050420168,142424,Chesterfield township Burlington
Millstone,Monmouth,120,0.19569128265607338,288,349,457,0.1872791519434629,0.028268551236749116,10522,36.5902174638,0.03811062535639612,0.019102832161186085,0.0251853259836533,0.001615662421592853,0.018627637331305836,0.002090857251473104,0.8952670594943927,0.06643223721725908,0.9335677627827409,156891,Millstone township Monmouth
Edgewater,Bergen,121,0.563167286906015,12528,64,21,0.8303886925795053,0.9399293286219081,12165,0.9710457471,0.356596794081381,0.051787916152897656,0.015454171804356761,0.0013152486642005754,0.017673653925195234,0.0036169338265515825,0.5535552815454172,0.13538840937114674,0.8646115906288533,103505,Edgewater Bergen
Dumont,Bergen,122,0.45821866247386633,9173,135,40,0.6537102473498233,0.8798586572438163,17882,1.9493903286,0.1661447265406554,0.05100100659881445,0.01979644335085561,0.0015098982216754278,0.04820489878089699,0,0.7133430265071021,0.18029303209931774,0.8197069679006822,94617,Dumont Bergen
Mount Laurel,Burlington,123,0.37732386732414835,1926,187,290,0.519434628975265,0.3674911660777385,41795,21.70542231,0.0896997248474698,0.08812058858715158,0.02746740040674722,0.0018662519440124418,0.014451489412609164,0,0.7783945448020098,0.044407225744706305,0.9555927742552937,92826,Mount Laurel township Burlington
Manalapan,Monmouth,124,0.21321152284198697,1308,329,345,0.2226148409893993,0.26855123674911663,40096,30.6508029399,0.08105546687948922,0.012095969672785315,0.012071029529130087,0.002194732641660016,0.00950219473264166,0,0.8830806065442937,0.05900837988826815,0.9409916201117319,109326,Manalapan township Monmouth
Summit,Union,125,0.3298023766307434,3696,225,171,0.42402826855123676,0.5865724381625441,22155,5.9940086778,0.07718348002708192,0.0352516361995035,0.017919205596930714,0,0.05763935906116001,0,0.8120063191153238,0.15599187542315504,0.8440081245768449,132443,Summit Union
Essex Fells,Essex,126,0.17509902540997158,1488,366,327,0.15901060070671377,0.31448763250883394,2095,1.408303611,0.044391408114558474,0.003341288782816229,0.04630071599045346,0,0,0,0.9059665871121718,0.056801909307875896,0.9431980906921241,200875,Essex Fells Essex
Wharton,Morris,128,0.5999550059308794,3187,40,204,0.8869257950530035,0.5159010600706714,6591,2.0678519862,0.10043999393111819,0.010772265210135032,0.03610984676073434,0,0.3145197997269003,0,0.5381580943711122,0.5047792444242148,0.49522075557578515,68265,Wharton Morris
Frelinghuysen,Warren,129,0.15706562186486073,97,385,519,0.12367491166077739,0,2283,23.6229539832,0.002190100744634253,0.030223390275952694,0.03810775295663601,0.004818221638195357,0.00788436268068331,0,0.9167761717038984,0.06789312308366185,0.9321068769163382,106875,Frelinghuysen township Warren
West Caldwell,Essex,130,0.16831371098373626,2145,372,278,0.15547703180212014,0.38515901060070673,10932,5.0966006949,0.07016099524332235,0.011983168679107209,0.0043907793633369925,0,0.004299304793267472,0,0.9091657519209659,0.05314672521039151,0.9468532747896085,105931,West Caldwell township Essex
Logan,Gloucester,131,0.3613204491325408,272,200,459,0.4876325088339223,0.024734982332155476,5976,21.9317718906,0.010207496653279786,0.1209839357429719,0.04133199464524766,0,0.03965863453815261,0,0.7878179384203481,0.06559571619812583,0.9344042838018741,105804,Logan township Gloucester
Metuchen,Middlesex,132,0.40225228433396676,4892,173,113,0.558303886925795,0.6925795053003534,13940,2.8493172279,0.14691535150645624,0.051936872309899566,0.030559540889526542,0,0.01406025824964132,0,0.7565279770444763,0.0703012912482066,0.9296987087517934,116632,Metuchen Middlesex
Bernardsville Borough,Somerset,133,0.22632064977927124,607,321,407,0.24028268551236748,0.13074204946996468,7792,12.8354566626,0.043634496919917866,2.566735112936345e-4,0,0.007058521560574948,0.0736652977412731,0,0.8753850102669405,0.13513860369609856,0.8648613963039015,150635,Bernardsville Somerset
Highland Park,Middlesex,134,0.5047341975992613,7827,101,50,0.734982332155477,0.8480565371024735,14250,1.8206259786,0.13908771929824562,0.10224561403508772,0.03564912280701754,0.0017543859649122807,0.04119298245614035,0,0.6800701754385965,0.1527719298245614,0.8472280701754386,75913,Highland Park Middlesex
Cherry Hill,Camden,135,0.4299229652585338,2958,149,217,0.6148409893992933,0.5017667844522968,71204,24.0718921443,0.13464131228582663,0.06652716139542722,0.029661254985674963,9.269142183023426e-4,0.029478680972979045,0,0.7387646761417898,0.07026290657828212,0.9297370934217178,97069,Cherry Hill township Camden
Colts Neck,Monmouth,136,0.10912469752489051,326,454,448,0.04240282685512368,0.045936395759717315,10018,30.7142932239,0.02305849470952286,0.01736873627470553,0.014873228189259333,0,0.0013974845278498702,0,0.9433020562986624,0.03563585546017169,0.9643641445398283,167480,Colts Neck township Monmouth
Midland Park,Bergen,137,0.09227786009806282,4670,480,120,0.0176678445229682,0.6749116607773852,7336,1.5707524833,0.00886041439476554,0.008178844056706653,0.01322246455834242,0,0.016902944383860415,4.089422028353326e-4,0.9524263904034896,0.13304252998909488,0.8669574700109052,105313,Midland Park Bergen
Wantage,Sussex,138,0.09871858165614145,166,467,491,0.02120141342756184,0.0035335689045936395,11062,66.7551467583,0.011751943590670765,0.008226360513469535,0.031007051166154403,0,2.711986982462484e-4,0,0.9487434460314591,0.054962936177906346,0.9450370638220936,92788,Wantage township Sussex
Point Pleasant Beach Borough,Ocean,140,0.11064937973678757,3218,450,202,0.053003533568904596,0.519434628975265,4577,1.4221622844,0.005462093074065982,0.012890539654795717,0.021848372296263928,0,0.017260214114048503,0,0.9425387808608259,0.0734105309154468,0.9265894690845532,92143,Point Pleasant Beach Ocean
Rumson,Monmouth,142,0.1072698573914822,1360,455,340,0.038869257950530034,0.2756183745583039,6874,5.0557586508,0.01585685190573174,0.0119290078556881,0.0155659004946174,0,0.012219959266802444,0,0.9444282804771603,0.046697701483852196,0.9533022985161478,158229,Rumson Monmouth
Westwood,Bergen,144,0.3687824317498357,4979,191,108,0.5123674911660777,0.7102473498233216,11246,2.2585417569,0.0880313000177841,0.06891339142806331,0.014405121821091944,0,0.04339320647341277,0,0.7852569802596479,0.16565890094255736,0.8343410990574427,95685,Westwood Bergen
Dunellen,Middlesex,145,0.5243812853137122,6959,88,63,0.7703180212014135,0.8091872791519434,7392,1.0622109069,0.05735930735930736,0.10281385281385282,0.022456709956709956,0.0025703463203463205,0.15313852813852813,0,0.6616612554112554,0.2912608225108225,0.7087391774891775,78447,Dunellen Middlesex
Allamuchy,Warren,146,0.09983650782523745,228,464,471,0.024734982332155476,0.014134275618374558,4559,19.990489661999998,0.028953717920596624,0.008993200263215618,0.007457775828032464,0,0.006361044088615924,0,0.9482342618995394,0.05856547488484317,0.9414345251151568,90924,Allamuchy township Warren
Saddle River,Bergen,147,0.4606381494333762,661,130,404,0.6607773851590106,0.13780918727915195,3248,4.9102564797,0.1748768472906404,0.08682266009852217,0.025246305418719212,0,0.005541871921182266,0,0.7075123152709359,0.0437192118226601,0.9562807881773399,173333,Saddle River Bergen
Evesham,Burlington,148,0.25874782430317145,1560,288,321,0.30742049469964666,0.3286219081272085,45489,29.1526600365,0.0608278924575172,0.04972630745894612,0.019103519532194597,2.8578337620083975e-4,0.012442568533051947,5.495834157708457e-4,0.8570643452263185,0.04702235705335356,0.9529776429466464,94395,Evesham township Burlington
Ringwood,Passaic,150,0.19987563359847593,487,344,424,0.20141342756183744,0.09187279151943463,12451,25.5816975843,0.04079993574813268,0.013492892137177737,0.015741707493374026,0.01750863384467111,0.019516504698417796,0,0.8929403260782266,0.06674162717853988,0.9332583728214601,116198,Ringwood Passaic
Cedar Grove,Essex,152,0.27371532476740856,2983,270,215,0.3392226148409894,0.5053003533568905,12638,4.236802713,0.07153030542807406,0.06923563855040354,0.00917866751068207,0.001661655325209685,9.495173286912486e-4,0.0011077702168064568,0.8463364456401329,0.054834625731919606,0.9451653742680803,115926,Cedar Grove township Essex
Stillwater,Sussex,153,0.022385190459238258,148,522,497,0,0,3975,26.9175062871,0,0,0.011320754716981131,0,0,0,0.9886792452830189,0.04150943396226415,0.9584905660377359,86806,Stillwater township Sussex
Fredon,Sussex,154,0.14446327409876758,184,406,487,0.10600706713780919,0.0035335689045936395,3238,17.6410642122,0.016368128474366892,0.0012353304508956147,0.017294626312538603,0,0.04138357010500309,0,0.9237183446571958,0.05589870290302656,0.9441012970969734,108400,Fredon township Sussex
Pequannock,Morris,155,0.1029538541790872,2284,459,260,0.03180212014134275,0.4204946996466431,15499,6.7861932138,0.014258984450609717,0.001483966707529518,0.015807471449770953,0.003742176914639654,0.01800116136524937,0,0.9467062391122008,0.08336021678817988,0.9166397832118202,94237,Pequannock township Morris
Medford Lakes,Burlington,157,0.0590218073694907,3576,502,180,0.01060070671378092,0.558303886925795,4075,1.1395366983,0.004662576687116564,0.006134969325153374,0.019386503067484663,0,0,0,0.9698159509202454,0.01987730061349693,0.9801226993865031,105598,Medford Lakes Burlington
Edison,Middlesex,158,0.6198386487266444,3403,31,192,0.9151943462897526,0.5406360424028268,102304,30.062780747999998,0.49015678761338755,0.07129730997810448,0.03265756959649672,0.0025023459493274947,0.0398420394119487,0,0.36354394745073504,0.09581248045042227,0.9041875195495778,95622,Edison township Middlesex
Howell,Monmouth,159,0.23801234897720291,860,307,385,0.2791519434628975,0.19081272084805653,52076,60.5602309455,0.05202012443352024,0.0386550426300023,0.021641447115753897,0.0013249865581073815,0.01478608188032875,0.0014594054842921884,0.8701129118979952,0.0960711268146555,0.9039288731853445,100305,Howell township Monmouth
Alpha,Warren,160,0.10191561671506133,1324,460,343,0.028268551236749116,0.26855123674911663,2225,1.6806600954,0,0.03146067415730337,0.018426966292134833,0,0.003146067415730337,0,0.9469662921348314,0.02696629213483146,0.9730337078651685,68788,Alpha Warren
Morris Plains,Morris,161,0.1530027430268469,2196,395,272,0.11307420494699646,0.3957597173144876,5605,2.55285459,0.047100802854594115,0.021587867975022303,0.006244424620874219,0,0.006244424620874219,0,0.9188224799286352,0.09099018733273863,0.9090098126672613,125229,Morris Plains Morris
Parsippany-Troy Hills,Morris,162,0.5434786394124715,2273,77,261,0.8056537102473498,0.4169611307420495,53444,23.5104147135,0.3282875533268468,0.043989970810568074,0.026607289873512463,0.0010104034129181946,0.011919018037572037,0,0.5881857645385824,0.096268991841928,0.903731008158072,93915,Parsippany-Troy Hills township Morris
Scotch Plains,Union,163,0.4151415760240933,2698,160,231,0.5830388692579506,0.4734982332155477,24339,9.0207048789,0.08554172316035992,0.12399852089239492,0.021036197050002054,0,0.02021447060273635,0,0.7492090882945067,0.08048810550967583,0.9195118944903242,117765,Scotch Plains township Union
North Hanover,Burlington,164,0.4788913324276507,440,121,428,0.6749116607773852,0.08480565371024736,7634,17.3681876511,0.021351847000261985,0.15561959654178675,0.07558291852239979,0.002357872674875557,0.04427560911710768,0.0017029080429656798,0.6991092481006026,0.17841236573225047,0.8215876342677495,63417,North Hanover township Burlington
High Bridge,Hunterdon,166,0.09546372811874837,1491,477,326,0.0176678445229682,0.31448763250883394,3565,2.3911995393,0.014586255259467041,0.020476858345021037,0.014305750350631136,0,0,0,0.9506311360448808,0.09537166900420757,0.9046283309957924,92961,High Bridge Hunterdon
Green Twp.,Sussex,168,0.09759521302662633,219,468,473,0.0176678445229682,0.014134275618374558,3511,16.033528368,0.001708914839077186,0.003987467957846767,0.012532042153232698,0,0.032469381942466534,0,0.9493021931073768,0.08259755055539732,0.9174024494446027,117563,Green township Sussex
Haddon,Camden,169,0.12194212759815748,5428,438,98,0.0636042402826855,0.7314487632508834,14612,2.6921973078,0.02053107035313441,0.023679167807281687,0.008759923350670681,0,0.010607719682452778,0,0.9364221188064604,0.04065151929920613,0.9593484807007938,86360,Haddon township Camden
Branchburg,Somerset,170,0.25182661003194806,731,296,395,0.29328621908127206,0.16607773851590105,14683,20.0728849464,0.08288496901178233,0.04787849894435742,0.005380371858612,8.172716747258734e-4,0.0034052986446911396,0,0.8596335898658313,0.03303139685350405,0.9669686031464959,129237,Branchburg township Somerset
Oceanport,Monmouth,171,0.08506581980759176,1816,486,296,0.014134275618374558,0.36395759717314485,5762,3.1723427736,0.025511975008677544,0.0020826102047900035,0.012322110378340854,0,0.00399166955918084,0,0.9560916348490107,0.08347795904199931,0.9165220409580007,107571,Oceanport Monmouth
Stanhope,Sussex,172,0.2533124204281232,1856,295,294,0.29328621908127206,0.36395759717314485,3411,1.837685421,0.024626209322779244,0.02140134857812958,0.06068601583113457,0,0.032541776605101144,0,0.8607446496628555,0.10260920551158018,0.8973907944884199,83813,Stanhope Sussex
Roseland,Essex,173,0.260849785294318,1633,285,313,0.31448763250883394,0.3392226148409894,5907,3.6177419421,0.1015744032503809,0,0.036566785170137124,0,0.008972405620450314,0,0.8528864059590316,0.07330286101235822,0.9266971389876418,110208,Roseland Essex
Middlesex,Middlesex,174,0.5043626458891324,3978,103,153,0.7279151943462897,0.6148409893992933,13875,3.4882737318,0.07358558558558559,0.09744144144144144,0.033873873873873875,0,0.11163963963963965,0,0.6834594594594594,0.24605405405405406,0.753945945945946,73196,Middlesex Middlesex
Spring Lake Heights,Monmouth,175,0.060468506131226785,3577,499,179,0.014134275618374558,0.558303886925795,4645,1.2985222536,0.02303552206673843,0.006243272335844994,0.001722282023681378,0,0,0,0.9689989235737352,0.03789020452099031,0.9621097954790097,78829,Spring Lake Heights Monmouth
Hardwick,Warren,176,0.07129123823638206,42,494,528,0.014134275618374558,0,1559,37.5274671057,0.01924310455420141,0.008980115458627326,0.006414368184733804,0,0.001924310455420141,0,0.9634381013470174,0.0359204618345093,0.9640795381654907,105139,Hardwick township Warren
Oxford,Warren,177,0.06504711923126028,438,497,429,0.014134275618374558,0.08480565371024736,2609,5.9582133468,0,0.021464162514373324,0.004982752012265236,0.006899195093905711,0,0,0.9666538903794557,0.062476044461479495,0.9375239555385205,82578,Oxford township Warren
Wood-Ridge,Bergen,178,0.34948660762307715,7499,209,57,0.46996466431095407,0.823321554770318,8350,1.1135425158,0.13868263473053893,0.02682634730538922,0.024191616766467066,0,0.016766467065868262,0,0.7935329341317365,0.13736526946107785,0.8626347305389221,102283,Wood-Ridge Bergen
Mount Olive,Morris,179,0.3318325302606371,980,222,371,0.43462897526501765,0.21554770318021202,29010,29.6106622812,0.08507411237504309,0.06494312306101345,0.021613236814891416,0.004894863840055153,0.013512581868321268,0,0.8099620820406757,0.12785246466735609,0.8721475353326439,86773,Mount Olive township Morris
Jamesburg,Middlesex,180,0.3047530155981314,6843,243,65,0.3957597173144876,0.8056537102473498,6038,0.8823122451,0.08082146406094734,0.05481947664789665,0.0273269294468367,0,0.006955945677376615,0.002484266313348791,0.8275919178535939,0.19195097714474993,0.80804902285525,83095,Jamesburg Middlesex
Woodland,Burlington,181,0.17554317793079244,16,365,533,0.15901060070671377,0,1510,92.6437892094,0.005960264900662252,0.023178807947019868,0.05496688741721854,0,0.009933774834437087,0,0.9059602649006623,0.051655629139072845,0.9483443708609272,95074,Woodland township Burlington
Rutherford,Bergen,182,0.4148811206163291,6696,161,70,0.5795053003533569,0.7985865724381626,18622,2.7810555201,0.17543765438728387,0.022822468048544733,0.04376543872838578,0.001073998496402105,0.01358608097948663,5.369992482010525e-4,0.7427773601116958,0.16797336483728922,0.8320266351627108,93787,Rutherford Bergen
Lopatcong,Warren,183,0.24836420380316437,1134,297,355,0.28975265017667845,0.24028268551236748,8300,7.3160533017,0.047469879518072286,0.061204819277108434,0.009759036144578313,0,0.018313253012048194,0,0.8632530120481928,0.0653012048192771,0.9346987951807229,78153,Lopatcong township Warren
Wayne,Passaic,184,0.23462262624831387,2324,313,259,0.2579505300353357,0.42402826855123676,55154,23.7316801293,0.08204300685353737,0.01787721652101389,0.014813068861732604,5.983246908655763e-4,0.014015302607245168,7.252420495340319e-5,0.870580556260652,0.12064401493998622,0.8793559850600138,108092,Wayne township Passaic
Pitman,Gloucester,186,0.15970740794607008,4008,384,151,0.127208480565371,0.6219081272084805,8886,2.2173286707,0.02284492460049516,0.02048165653837497,0.0379248255683097,0.0012379023182534324,0.0021381949133468378,0,0.9153724960612198,0.027909070447895565,0.9720909295521044,73538,Pitman Gloucester
Piscataway,Middlesex,187,0.6827510755451801,3071,9,212,0.9752650176678446,0.5123674911660777,57695,18.7852889367,0.3803449172371956,0.19842274027212065,0.031181211543461304,0.001854580119594419,0.024473524568853454,9.012912730739232e-4,0.3628217349857007,0.1134240402114568,0.8865759597885432,89617,Piscataway township Middlesex
Hightstown,Mercer,188,0.40495278716136307,4481,169,125,0.5618374558303887,0.6678445229681979,5527,1.2333053304,0.04667993486520716,0.06658223267595441,0.006875339243712683,0,0.12267052650624208,0,0.7571919667088837,0.36113624027501356,0.6388637597249864,72973,Hightstown Mercer
East Windsor,Mercer,190,0.5180605848142191,1778,91,300,0.7632508833922261,0.36395759717314485,27675,15.566938101,0.19718157181571816,0.0814453477868112,0.027244805781391147,2.8906955736224027e-4,0.034688346883468835,0,0.6591508581752484,0.2316531165311653,0.7683468834688347,85636,East Windsor township Mercer
Middletown,Monmouth,191,0.1304929878133474,1610,425,318,0.08833922261484099,0.33568904593639576,65952,40.9537536408,0.033418243571082,0.01078056768558952,0.012948811256671518,6.519893255701116e-4,0.010537967006307618,0,0.9316624211547793,0.05766314895681708,0.9423368510431829,105035,Middletown township Monmouth
New Milford,Bergen,192,0.45848065629610224,7342,134,59,0.657243816254417,0.8162544169611308,16760,2.2829008058999998,0.18042959427207636,0.03383054892601432,0.02130071599045346,0.003520286396181384,0.05041766109785203,0,0.7105011933174225,0.17547732696897375,0.8245226730310262,84025,New Milford Bergen
Flemington,Hunterdon,193,0.44151666088565156,4316,144,135,0.6254416961130742,0.6466431095406361,4650,1.0774869534,0.13956989247311827,0.0189247311827957,0.02989247311827957,0,0.08301075268817204,0,0.7286021505376344,0.33268817204301077,0.6673118279569893,60869,Flemington Hunterdon
Cinnaminson,Burlington,194,0.1758133503273861,2226,364,268,0.1625441696113074,0.3992932862190813,16528,7.4237080203,0.01796950629235237,0.04743465634075508,0.013794772507260406,1.2100677637947725e-4,0.013734269119070669,7.260406582768635e-4,0.9062197483059051,0.05947483059051307,0.9405251694094869,97993,Cinnaminson township Burlington
Pine Beach,Ocean,195,0.09551749236787133,3434,476,187,0.0176678445229682,0.5512367491166078,2185,0.636200136,0.019679633867276888,0.020594965675057208,0.009153318077803204,0,0,0,0.9505720823798627,0.042562929061784896,0.9574370709382151,95909,Pine Beach Ocean
Moonachie,Bergen,197,0.4896256195377483,1611,110,317,0.7031802120141343,0.33568904593639576,2783,1.7277735618,0.08228530362917715,0,0.0693496227093065,0,0.1606180380883938,0,0.6877470355731226,0.3036291771469637,0.6963708228530363,59700,Moonachie Bergen
Caldwell,Essex,198,0.21257496780805063,6818,331,67,0.21908127208480566,0.8021201413427562,8032,1.1780995941,0.035109561752988044,0.029133466135458166,0.020542828685258963,0,0.02975597609561753,0,0.8854581673306773,0.12350597609561753,0.8764940239043825,85162,Caldwell Essex
Medford,Burlington,199,0.15486803569989516,602,390,408,0.12014134275618374,0.13074204946996468,23353,38.7984778038,0.024536462124780542,0.021538988566779427,0.021410525414293665,4.282105082858733e-5,0.013402988909347836,6.851368132573973e-4,0.9183830771207125,0.034128377510384104,0.9658716224896159,113469,Medford township Burlington
Princeton,Mercer,200,0.43114883285821604,1713,148,306,0.6183745583038869,0.35335689045936397,30722,17.9368040709,0.16854371460191395,0.06360263003710696,0.025747021678276152,4.23149534535512e-4,0.008821040296855674,9.764989258511815e-4,0.7318859449254606,0.0742139183646898,0.9257860816353102,125506,Princeton Mercer
Watchung,Somerset,201,0.33545513263377424,991,219,370,0.43462897526501765,0.21554770318021202,5961,6.0158136752999996,0.1486327797349438,0.010400939439691326,0.005871498070793491,0,0.03439020298607616,0,0.8007045797684952,0.13219258513672202,0.867807414863278,121678,Watchung Somerset
Fair Lawn,Bergen,202,0.31025750312342615,6514,241,71,0.4028268551236749,0.7950530035335689,33447,5.1350164866,0.13253804526564417,0.016384130116303405,0.015786169163153646,7.773492390946871e-4,0.014679941399826592,4.185726672048315e-4,0.8194157921487727,0.13684336412832243,0.8631566358716776,109747,Fair Lawn Bergen
Plumsted,Ocean,203,0.10657126593825472,217,456,475,0.038869257950530034,0.014134275618374558,8509,39.1367326779,0.00822658361734634,0.03737219414737337,0.004348337054883065,0,0.00564108590903749,0,0.9444117992713598,0.08814196732871078,0.9118580326712892,91438,Plumsted township Ocean
Old Bridge,Middlesex,204,0.4110221500230363,1752,166,302,0.568904593639576,0.3568904593639576,66880,38.180920892399996,0.1369916267942584,0.06976674641148325,0.021919856459330145,8.971291866028708e-4,0.0190938995215311,0,0.7513307416267943,0.13522727272727272,0.8647727272727272,88540,Old Bridge township Middlesex
Tabernacle,Burlington,205,0.11312485382070891,141,447,500,0.05653710247349823,0,6920,49.0940875854,0.008670520231213872,0.008092485549132947,0.01777456647398844,0,0.024277456647398842,0,0.9411849710982659,0.04147398843930636,0.9585260115606936,99549,Tabernacle township Burlington
Paramus,Bergen,206,0.4878635007956812,2577,111,240,0.7031802120141343,0.4558303886925795,26919,10.4447378178,0.28288569411939524,0.03165050707678591,0.017645529180132992,8.544150971432817e-4,0.010698762955533266,0,0.6562650915710093,0.09446859095805936,0.9055314090419406,105114,Paramus Bergen
Mount Arlington,Morris,208,0.20430139290974125,2527,339,244,0.20848056537102475,0.4452296819787986,5405,2.1392407179,0.03885291396854764,0.0549491211840888,0.0027752081406105457,0,0.014061054579093433,0,0.8893617021276595,0.08640148011100833,0.9135985198889917,90625,Mount Arlington Morris
Clark,Union,209,0.11056267954148924,3652,452,173,0.04946996466431095,0.5795053003533569,15607,4.273196499,0.027551739604023837,0.013391426923816237,0.010187736272185558,0,0.006343307490228743,0,0.9425257897097457,0.13654129557249953,0.8634587044275005,100192,Clark township Union
Liberty,Warren,211,0.11372812252793252,245,444,464,0.05653710247349823,0.02120141342756184,2857,11.6660281023,0.039901995099754985,0.004200210010500525,0.009800490024501224,0,0.0056002800140007,0,0.9404970248512425,0.044452222611130555,0.9555477773888694,101016,Liberty township Warren
West Deptford,Gloucester,212,0.26036756928178484,1390,287,337,0.31095406360424027,0.2862190812720848,21348,15.3561232539,0.02004871650740116,0.0882049840734495,0.013631253513209669,0.0013115982761851227,0.020985572418961963,9.36855911560802e-4,0.8548810192992318,0.0394884766722878,0.9605115233277122,71705,West Deptford township Gloucester
