Town,County,Best Towns Rank,Diversity Index,Population density,Diversity Index rank,Pop. density rank,Diversity Index percentile,Pop. density percentile,"Population, 2013-17",Square miles,pct Asian,pct Black,pct Two or more,pct Native American,pct Other race,pct Pacific Islander,pct White,pct Hispanic,pct Non-Hispanic,"Med. Household Income, 2013-17",twp_identifier
Harrington Park,Bergen,28,0.3528071446801696,2611,208,237,0.46996466431095407,0.4558303886925795,4819,1.8455564556,0.18717576260634985,0.006640381821954763,0.019921145465864286,0,0.004150238638721726,0,0.7821124714671094,0.07366673583731065,0.9263332641626894,127188,Harrington Park Bergen
South Brunswick,Middlesex,29,0.6111836140274253,1123,36,358,0.8975265017667845,0.2332155477031802,45602,40.6170130509,0.42344634007280385,0.08993026621639402,0.01879303539318451,0.0022586728652252094,0.017170299548265426,3.2893294153765187e-4,0.44807245296258935,0.06841805183983159,0.9315819481601684,113815,South Brunswick township Middlesex
Warren Twp.,Somerset,30,0.3447184711065505,818,213,389,0.4558303886925795,0.18374558303886926,15998,19.5657117084,0.18108513564195525,0.007938492311538942,0.020940117514689337,0.001375171896487061,0,0,0.7886610826353294,0.05669458682335292,0.9433054131766471,154647,Warren township Somerset
Demarest,Bergen,31,0.48706803348952254,2433,113,252,0.696113074204947,0.43109540636042404,5031,2.0679573915,0.32558139534883723,0.0027827469687934803,0.028225004969191017,0,0.006161796859471278,0,0.6372490558537071,0.07891075332935799,0.9210892466706421,149271,Demarest Bergen
Readington Twp.,Hunterdon,32,0.12812487827993824,336,429,444,0.0812720848056537,0.053003533568904596,15962,47.5564095864,0.04134820197970179,0.0073299085327653175,0.008582884350332038,0.0011276782358100488,0.008896128304723718,0,0.9327151985966671,0.04303971933341687,0.9569602806665831,133320,Readington township Hunterdon
Hanover Twp.,Morris,33,0.283062384600673,1373,263,339,0.3568904593639576,0.2791519434628975,14436,10.514950875,0.13778054862842892,0.013022998060404543,0.008797450817400942,0,0.005126073704627321,0,0.8352729287891383,0.08700471044610696,0.9129952895538931,116020,Hanover township Morris
Alexandria,Hunterdon,35,0.055796380111736155,175,507,489,0.01060070671378092,0.0035335689045936395,4819,27.5330743974,0.02552396762813862,0.0010375596596804316,0.002075119319360863,0,0,0,0.9713633533928201,0,1,138039,Alexandria township Hunterdon
Robbinsville,Mercer,36,0.36058307336092144,699,203,400,0.4840989399293286,0.1519434628975265,14281,20.4407702928,0.1483089419508438,0.03396120719837546,0.017155661368251522,0,0.015895245430992227,0,0.784678944051537,0.04908619844548701,0.950913801554513,137313,Robbinsville township Mercer
Marlboro,Monmouth,37,0.38828729300095344,1334,181,341,0.5335689045936396,0.2756183745583039,40466,30.3388167654,0.19379231947808037,0.02406958928483171,0.015000247121039886,0.001779271487174418,0.00820441852419315,0,0.7571541541046805,0.05006672268076904,0.9499332773192309,143208,Marlboro township Monmouth
Mahwah,Bergen,38,0.3394380822494064,1047,216,365,0.4452296819787986,0.2226148409893993,26581,25.3897885098,0.1319363455099507,0.03284300816372597,0.011060531958918023,0.0015424551371280239,0.02080433392272676,8.652797110718182e-4,0.8009480455964787,0.08754373424626613,0.9124562657537338,107215,Mahwah township Bergen
