Municipality,Diversity Index,Population density,Diversity Index rank,Pop. density rank,Diversity Index percentile,Pop. density percentile,"Population, 2013-17",Square miles,pct Asian,pct Black,pct Two or more,pct Native American,pct Other race,pct Pacific Islander,pct White,pct Hispanic,pct Non-Hispanic
Maple Shade,40.3%,"4,948",125,85,56,70,18940,3.8276749368,7.1%,10.0%,2.1%,0.0%,4.8%,0.0%,76.1%,11.0%,89.0%
Metuchen,40.2%,"4,892",126,88,56,69,13940,2.8493172279,14.7%,5.2%,3.1%,0.0%,1.4%,0.0%,75.7%,7.0%,93.0%
Clinton,40.0%,438,127,260,55,8,13067,29.8652052699,5.2%,12.6%,2.4%,0.3%,3.4%,0.0%,76.1%,9.7%,90.3%
Holmdel,39.1%,933,132,227,54,20,16648,17.8450887186,19.4%,1.2%,2.2%,0.1%,1.7%,0.0%,75.5%,5.5%,94.5%
Woodland Park,38.6%,"4,273",135,102,53,64,12542,2.9349476441999998,6.4%,6.3%,3.0%,0.9%,5.9%,0.0%,77.5%,27.0%,73.0%
Monroe,37.0%,792,138,235,52,17,36779,46.4187871719,2.3%,15.0%,3.3%,0.0%,1.5%,0.0%,77.8%,6.3%,93.7%
Westwood,36.9%,"4,979",139,83,51,71,11246,2.2585417569,8.8%,6.9%,1.4%,0.0%,4.3%,0.0%,78.5%,16.6%,83.4%
Bellmawr,36.3%,"3,847",144,115,49,60,11482,2.9842823439,9.8%,2.3%,2.0%,0.3%,6.7%,0.0%,78.9%,11.7%,88.3%
Runnemede,36.1%,"4,091",146,103,49,64,8391,2.0510388756,4.1%,8.1%,3.5%,0.1%,5.0%,0.0%,79.2%,12.0%,88.0%
Robbinsville,36.1%,699,147,241,48,15,14281,20.4407702928,14.8%,3.4%,1.7%,0.0%,1.6%,0.0%,78.5%,4.9%,95.1%
Woolwich,35.9%,578,148,252,48,11,12172,21.0705642576,6.4%,9.9%,1.8%,0.0%,2.6%,0.2%,79.1%,6.1%,93.9%
Keansburg,35.5%,"9,203",150,34,47,88,9868,1.0723120551,2.8%,7.2%,4.2%,0.4%,5.7%,0.0%,79.6%,15.2%,84.8%
Wood-Ridge,34.9%,"7,499",151,51,47,82,8350,1.1135425158,13.9%,2.7%,2.4%,0.0%,1.7%,0.0%,79.4%,13.7%,86.3%
Nutley,34.7%,"8,548",153,38,46,87,28829,3.3725858166,11.6%,3.0%,3.0%,0.0%,2.7%,0.0%,79.8%,15.7%,84.3%
Hasbrouck Heights,34.6%,"8,012",154,41,46,86,12205,1.523372994,12.9%,2.9%,1.0%,0.4%,3.1%,0.0%,79.7%,14.6%,85.4%
Warren,34.5%,818,155,232,46,18,15998,19.5657117084,18.1%,0.8%,2.1%,0.1%,0.0%,0.0%,78.9%,5.7%,94.3%
Phillipsburg,34.3%,"4,557",156,93,45,67,14540,3.190602987,1.4%,11.2%,3.5%,0.3%,3.5%,0.0%,80.1%,13.3%,86.7%
Ridgewood,34.1%,"4,451",157,97,45,66,25554,5.7415575789,14.8%,1.7%,3.3%,0.1%,0.4%,0.0%,79.7%,7.8%,92.2%
Gloucester City,33.6%,"4,908",160,87,44,70,11333,2.3093092737,5.8%,3.5%,0.3%,0.1%,9.7%,0.0%,80.6%,14.4%,85.6%
Mount Olive,33.2%,980,161,223,43,22,29010,29.6106622812,8.5%,6.5%,2.2%,0.5%,1.4%,0.0%,81.0%,12.8%,87.2%
North Arlington,33.0%,"6,391",163,62,43,78,15877,2.4843152763,8.1%,2.8%,2.2%,0.0%,5.7%,0.0%,81.2%,27.7%,72.3%
Summit,33.0%,"3,696",164,118,42,59,22155,5.9940086778,7.7%,3.5%,1.8%,0.0%,5.8%,0.0%,81.2%,15.6%,84.4%
