GEOID,Town,County,Best Towns Rank,Total Population,"Population (ACS, 2012-17)",pct_white,pct_black,pct_natam,pct_asian,pct_pacis,pct_other,pct_multi,racial_diversity,racial_diversity_rank,state_racial_diversity,more_racial_diverse_than_state,pct_not_hispanic,pct_hispanic,econ_diversity,econ_diversity_rank,state_econ_diversity,more_econ_diverse_than_state,density,density_rank
3403547580,Montgomery,Somerset,1,"23,584",23059,0.631380372088989,0.0234615551411596,0.0030356910533848,0.322303655839369,0,0.0010408083611605,0.0187779175159374,0.496565825715254,108,0.506946901786414,0,0.953814128973503,0.0461858710264972,0.744544,523,0.883128,0,713.769277689682,399
3400326640,Glen Rock,Bergen,2,"12,045",11962,0.846597558936633,0.00852700217354957,0.00267513793679987,0.110265841832469,0.00158836314997492,0.00108677478682495,0.0292593211837485,0.270174339345396,272,0.506946901786414,0,0.929526834977428,0.0704731650225715,0.770441,515,0.883128,0,4404.31525754868,132
3403504450,Bedminster,Somerset,3,"8,210",8244,0.888767588549248,0.0135856380397865,0,0.0703541969917516,0,0.0132217370208637,0.0140708393983503,0.204585088097829,338,0.506946901786414,0,0.929160601649685,0.0708393983503154,0.848267,384,0.883128,0,316.115521273378,450
3402745360,Mendham Twp.,Morris,4,"5,845",5877,0.917815211842777,0.00595541943168283,0,0.0398162327718224,0,0.0035732516590097,0.0328398842947082,0.154903211369343,389,0.506946901786414,0,0.931767908797005,0.0682320912029947,0.722783,529,0.883128,0,330.493021877892,447
3403505560,Bernards Twp.,Somerset,5,"27,061",27032,0.754809115122817,0.0234166913287955,0,0.191920686593667,0,0.0110239715892276,0.0188295353654927,0.392405229000456,179,0.506946901786414,0,0.945767978691921,0.0542320213080793,0.804079,497,0.883128,0,1129.6365841116,355
3402180240,West Windsor,Mercer,6,"28,491",28289,0.47785358266464,0.0269009155502139,0,0.466471066492276,0,0.00682243981759695,0.0219519954752731,0.552808602612276,73,0.506946901786414,1,0.969811587542861,0.0301884124571388,0.759076,518,0.883128,0,1106.60096230158,362
3401352620,North Caldwell,Essex,7,"6,730",6637,0.909145698357692,0,0,0.076992617146301,0,0,0.0138616844960072,0.167334089765601,374,0.506946901786414,0,0.976646075033901,0.0233539249660991,0.736408,526,0.883128,0,2204.75663422032,270
3401961920,Raritan Twp.,Hunterdon,8,"22,106",22103,0.898565805546758,0.0250192281590734,0,0.057548749038592,0,0.00312174817898023,0.0157444690765959,0.188384039190326,351,0.506946901786414,0,0.946523096412252,0.0534769035877483,0.849524,372,0.883128,0,588.918149504801,413
3401913750,Clinton Twp.,Hunterdon,9,"12,907",13067,0.761154052192546,0.125507002372388,0.00267850309941073,0.0521925461085176,0,0.0340552536925078,0.0244126425346292,0.400405527518636,175,0.506946901786414,0,0.902808601821382,0.0971913981786179,0.831292,447,0.883128,0,437.368437633545,430
3401974420,Union Twp.,Hunterdon,10,"5,543",5669,0.835597107073558,0.0920797318751102,0,0.040747927324043,0,0.0199329687775622,0.0116422649497266,0.291105538469456,257,0.506946901786414,0,0.940906685482448,0.0590933145175516,0.85535,328,0.883128,0,302.560811041276,453
3401918820,East Amwell,Hunterdon,11,"3,925",3933,0.954487668446478,0.0200864480040681,0.00330536486142893,0.0139842359521993,0,0.0022883295194508,0.00584795321637427,0.0883039060893408,482,0.506946901786414,0,0.916348843122298,0.0836511568777015,0.858201,307,0.883128,0,138.200345352892,502
3400332310,Ho-Ho-Kus,Bergen,12,"4,183",4162,0.902931283037001,2.40269101393561e-4,0,0.0696780394041326,0,0.00937049495434887,0.0177799135031235,0.179456079708841,359,0.506946901786414,0,0.914223930802499,0.0857760691975012,0.754483,520,0.883128,0,2398.9323429818,256
3401905650,Bethlehem,Hunterdon,13,"3,888",3915,0.970114942528736,0,0,0.0229885057471264,0,0.00485312899106003,0.00204342273307791,0.0583207984485123,504,0.506946901786414,0,0.977266922094508,0.0227330779054917,0.806214,492,0.883128,0,189.028714576944,484
3402729700,Harding,Morris,14,"3,873",3887,0.931566760998199,0,0,0.051710830975045,0,0,0.0167224080267559,0.129229720832981,427,0.506946901786414,0,0.974015950604579,0.0259840493954206,0.720414,530,0.883128,0,194.901672871634,481
3402712100,Chatham Borough,Morris,15,"8,928",9003,0.88148394979451306,0.0157725202710208,0,0.0846384538487171,0,0.00344329667888482,0.0146617794068644,0.215346781921669,328,0.506946901786414,0,0.901921581694991,0.0980784183050094,0.756171,519,0.883128,0,3851.072579573,163
3402359280,Plainsboro,Middlesex,16,"23,504",23487,0.356622812619747,0.0542853493421893,0.00975007450930302,0.53995827479031,0,0.0203516839102482,0.0190318048282028,0.577446867265511,53,0.506946901786414,1,0.968322902030911,0.0316770979690893,0.853376,346,0.883128,0,1991.11703983329,289
3400728770,Haddonfield,Camden,17,"11,435",11428,0.942509625481274,0.0110255512775639,0,0.0206510325516276,0,0.00288764438221911,0.0229261463073154,0.110593631274143,451,0.506946901786414,0,0.961935596779839,0.038064403220161,0.813567,486,0.883128,0,4046.51118715258,149
3401375815,Verona,Essex,18,"13,608",13585,0.890688259109312,0.0198012513801987,0,0.0635995583364004,0,0.00581523739418476,0.0200956937799043,0.20179977781357,341,0.506946901786414,0,0.944865660655134,0.0551343393448657,0.856884,318,0.883128,0,4929.46228969424,113
3403951810,New Providence,Union,19,"13,308",12716,0.824158540421516,0.00943692985215477,0.00196602705253224,0.128578169235609,0.00141553947782321,0.00542623466498899,0.0290185592953759,0.303263909180657,244,0.506946901786414,0,0.922302610883926,0.0776973891160742,0.821768,474,0.883128,0,3493.10340446074,187
